Year, Total Demand, Total Shipped, Satisfaction Level
1,365576,365576,1.0
2,358401,358401,1.0
3,364548,364548,1.0
4,368444,368444,1.0
5,364554,364554,1.0
6,364963,364963,1.0
7,368343,368343,1.0
8,362124,362124,1.0
9,362189,362189,1.0
10,363056,363056,1.0
11,368335,368335,1.0
12,362525,362525,1.0
13,367844,367844,1.0
14,359941,359941,1.0
15,367803,367803,1.0
16,367510,367510,1.0
17,363143,363143,1.0
18,368689,368689,1.0
19,371276,371276,1.0
20,369258,369258,1.0
21,358413,358413,1.0
22,359864,359864,1.0
23,357666,357666,1.0
24,364869,364869,1.0
25,363406,363406,1.0
26,365300,365300,1.0
27,364965,364965,1.0
28,364330,364330,1.0
29,365187,365187,1.0
30,365064,365064,1.0
31,361207,361207,1.0
32,367856,367856,1.0
33,362596,362596,1.0
34,368043,368043,1.0
35,363065,363065,1.0
36,370457,370457,1.0
37,366183,366183,1.0
38,370483,370483,1.0
39,360770,360770,1.0
40,366809,366809,1.0
41,365322,365322,1.0
42,369044,369044,1.0
43,372984,372984,1.0
44,367189,367189,1.0
45,364143,364143,1.0
46,371900,371900,1.0
47,366009,366009,1.0
48,372806,372806,1.0
49,368708,368708,1.0
50,363362,363362,1.0
51,361753,361753,1.0
52,360823,360823,1.0
53,362325,362325,1.0
54,362044,362044,1.0
55,365560,365560,1.0
56,361481,361481,1.0
57,362406,362406,1.0
58,361812,361812,1.0
59,364019,364019,1.0
60,366728,366728,1.0
61,360141,360141,1.0
62,363793,363793,1.0
63,363408,363408,1.0
64,366032,366032,1.0
65,365007,365007,1.0
66,364568,364568,1.0
67,367233,367233,1.0
68,362349,362349,1.0
69,365934,365934,1.0
70,370802,370802,1.0
71,358451,358451,1.0
72,365076,365076,1.0
73,368979,368979,1.0
74,367145,367145,1.0
75,373992,373992,1.0
76,365330,365330,1.0
77,366936,366936,1.0
78,367733,367733,1.0
79,366017,366017,1.0
80,367849,367849,1.0
81,364731,364731,1.0
82,364429,364429,1.0
83,368547,368547,1.0
84,372950,372950,1.0
85,369148,369148,1.0
86,359565,359565,1.0
87,369811,369811,1.0
88,371971,371971,1.0
89,367310,367310,1.0
90,366164,366164,1.0
91,372037,372037,1.0
92,369050,369050,1.0
93,368162,368162,1.0
94,364070,364070,1.0
95,362054,362054,1.0
96,362711,362711,1.0
97,361243,361243,1.0
98,366812,366812,1.0
99,367998,367998,1.0
100,367277,367277,1.0
