Year, Total Demand, Total Shipped, Satisfaction Level
1,360140,357535,0.992767
2,372789,368262,0.987856
3,366810,365046,0.995191
4,364795,361639,0.991349
5,366467,363921,0.993053
6,363351,362256,0.996986
7,373805,370739,0.991798
8,363323,361411,0.994737
9,364314,362039,0.993755
10,365598,362367,0.991162
11,369527,366928,0.992967
12,358972,356814,0.993988
13,362362,359422,0.991887
14,367653,364160,0.990499
15,360860,357927,0.991872
16,359533,356384,0.991241
17,366257,364250,0.99452
18,365502,361708,0.98962
19,365928,364012,0.994764
20,366168,360861,0.985507
21,368538,366438,0.994302
22,371563,368689,0.992265
23,362609,360313,0.993668
24,358888,358323,0.998426
25,359633,357633,0.994439
26,362154,360275,0.994812
27,364197,360077,0.988687
28,367591,363822,0.989747
29,363579,362802,0.997863
30,362131,360320,0.994999
31,369670,366654,0.991841
32,370701,367533,0.991454
33,368400,365000,0.990771
34,370520,368135,0.993563
35,365855,362579,0.991046
36,363604,359084,0.987569
37,371630,367440,0.988725
38,364888,362024,0.992151
39,365022,362137,0.992096
40,364122,360310,0.989531
41,376136,373892,0.994034
42,361086,357859,0.991063
43,369352,367325,0.994512
44,372594,369997,0.99303
45,361839,358812,0.991634
46,360015,357759,0.993734
47,363558,361605,0.994628
48,359974,357963,0.994413
49,366481,365494,0.997307
50,364662,363643,0.997206
51,362971,360261,0.992534
52,371014,370191,0.997782
53,364292,362372,0.99473
54,365382,362917,0.993254
55,368553,366850,0.995379
56,357378,356592,0.997801
57,370013,367812,0.994052
58,367784,365360,0.993409
59,366002,364199,0.995074
60,368188,363056,0.986061
61,363941,363929,0.999967
62,361768,360748,0.997181
63,358664,356233,0.993222
64,365848,365038,0.997786
65,361844,357164,0.987066
66,366071,362208,0.989447
67,361834,361489,0.999047
68,363783,361643,0.994117
69,360285,357925,0.99345
70,359220,358584,0.998229
71,361602,358596,0.991687
72,368881,366360,0.993166
73,365819,363554,0.993808
74,361047,359072,0.99453
75,374584,373422,0.996898
76,362192,361282,0.997488
77,360571,357653,0.991907
78,360915,356953,0.989022
79,360178,357883,0.993628
80,372041,369080,0.992041
81,364977,360026,0.986435
82,362484,357491,0.986226
83,364966,363010,0.994641
84,366105,365546,0.998473
85,365172,363332,0.994961
86,362390,359302,0.991479
87,363420,359604,0.9895
88,362206,361872,0.999078
89,358793,358793,1.0
90,364374,362428,0.994659
91,363042,360610,0.993301
92,370751,367527,0.991304
93,362580,361833,0.99794
94,359896,359308,0.998366
95,362772,358598,0.988494
96,361795,355752,0.983297
97,362244,360799,0.996011
98,366273,363183,0.991564
99,366595,364858,0.995262
100,367346,364938,0.993445
