Year,Week,Day,Demand
2018,1,Monday,147.0
2018,1,Tuesday,167.0
2018,1,Wednesday,229.0
2018,1,Thursday,489.0
2018,1,Friday,363.0
2018,1,Saturday,387.0
2018,1,Sunday,301.0
2018,2,Monday,147.0
2018,2,Tuesday,189.0
2018,2,Wednesday,142.0
2018,2,Thursday,474.0
2018,2,Friday,246.0
2018,2,Saturday,369.0
2018,2,Sunday,232.0
2018,3,Monday,236.0
2018,3,Tuesday,259.0
2018,3,Wednesday,260.0
2018,3,Thursday,547.0
2018,3,Friday,408.0
2018,3,Saturday,166.0
2018,3,Sunday,358.0
2018,4,Monday,283.0
2018,4,Tuesday,261.0
2018,4,Wednesday,368.0
2018,4,Thursday,766.0
2018,4,Friday,307.0
2018,4,Saturday,400.0
2018,4,Sunday,195.0
2018,5,Monday,127.0
2018,5,Tuesday,192.0
2018,5,Wednesday,369.0
2018,5,Thursday,634.0
2018,5,Friday,546.0
2018,5,Saturday,444.0
2018,5,Sunday,361.0
2018,6,Monday,441.0
2018,6,Tuesday,490.0
2018,6,Wednesday,675.0
2018,6,Thursday,1592.0
2018,6,Friday,1002.0
2018,6,Saturday,373.0
2018,6,Sunday,956.0
2018,7,Monday,819.0
2018,7,Tuesday,908.0
2018,7,Wednesday,941.0
2018,7,Thursday,1493.0
2018,7,Friday,2516.0
2018,7,Saturday,2179.0
2018,7,Sunday,1914.0
2018,8,Monday,293.0
2018,8,Tuesday,312.0
2018,8,Wednesday,302.0
2018,8,Thursday,547.0
2018,8,Friday,577.0
2018,8,Saturday,400.0
2018,8,Sunday,297.0
2018,9,Monday,189.0
2018,9,Tuesday,210.0
2018,9,Wednesday,317.0
2018,9,Thursday,541.0
2018,9,Friday,426.0
2018,9,Saturday,491.0
2018,9,Sunday,310.0
2018,10,Monday,393.0
2018,10,Tuesday,374.0
2018,10,Wednesday,494.0
2018,10,Thursday,651.0
2018,10,Friday,428.0
2018,10,Saturday,509.0
2018,10,Sunday,407.0
2018,11,Monday,187.0
2018,11,Tuesday,362.0
2018,11,Wednesday,326.0
2018,11,Thursday,735.0
2018,11,Friday,667.0
2018,11,Saturday,482.0
2018,11,Sunday,403.0
2018,12,Monday,243.0
2018,12,Tuesday,370.0
2018,12,Wednesday,436.0
2018,12,Thursday,825.0
2018,12,Friday,418.0
2018,12,Saturday,730.0
2018,12,Sunday,486.0
2018,13,Monday,325.0
2018,13,Tuesday,437.0
2018,13,Wednesday,472.0
2018,13,Thursday,713.0
2018,13,Friday,685.0
2018,13,Saturday,545.0
2018,13,Sunday,241.0
2018,14,Monday,386.0
2018,14,Tuesday,275.0
2018,14,Wednesday,439.0
2018,14,Thursday,1040.0
2018,14,Friday,806.0
2018,14,Saturday,813.0
2018,14,Sunday,199.0
2018,15,Monday,432.0
2018,15,Tuesday,445.0
2018,15,Wednesday,573.0
2018,15,Thursday,1264.0
2018,15,Friday,1022.0
2018,15,Saturday,816.0
2018,15,Sunday,517.0
2018,16,Monday,539.0
2018,16,Tuesday,484.0
2018,16,Wednesday,758.0
2018,16,Thursday,1105.0
2018,16,Friday,1234.0
2018,16,Saturday,1099.0
2018,16,Sunday,427.0
2018,17,Monday,513.0
2018,17,Tuesday,421.0
2018,17,Wednesday,745.0
2018,17,Thursday,1330.0
2018,17,Friday,949.0
2018,17,Saturday,836.0
2018,17,Sunday,1079.0
2018,18,Monday,613.0
2018,18,Tuesday,566.0
2018,18,Wednesday,753.0
2018,18,Thursday,935.0
2018,18,Friday,1172.0
2018,18,Saturday,541.0
2018,18,Sunday,947.0
2018,19,Monday,652.0
2018,19,Tuesday,430.0
